date,description,amount,reference,type
2024-01-02,STRIPE TRANSFER 240102,4250.00,STR-001,deposit
2024-01-03,GUSTO PAYROLL,-3200.00,PAY-001,withdrawal
2024-01-03,GUSTO TAX,-485.00,PAY-001T,withdrawal
2024-01-05,AMZN MKTP US,-89.99,AMZ-442,withdrawal
2024-01-08,CHECK DEP 1042,1500.00,CHK-1042,deposit
2024-01-09,COMCAST BUSINESS,-199.00,COM-119,withdrawal
2024-01-10,STRIPE TRANSFER 240110,6780.00,STR-002,deposit
2024-01-12,STAPLES DIRECT,-156.78,STP-221,withdrawal
2024-01-15,GUSTO PAYROLL,-3200.00,PAY-002,withdrawal
2024-01-15,GUSTO TAX,-485.00,PAY-002T,withdrawal
2024-01-16,ZOOM VIDEO,-149.90,ZM-8821,withdrawal
2024-01-18,DELTA AIR,-387.00,DL-9912,withdrawal
2024-01-22,STRIPE TRANSFER 240122,3920.00,STR-003,deposit
2024-01-24,PG&E ELECTRIC,-342.00,PGE-1124,withdrawal
2024-01-25,BANK FEE - JANUARY,-25.00,FEE-0124,withdrawal
2024-01-29,GUSTO PAYROLL,-3200.00,PAY-003,withdrawal
2024-01-29,GUSTO TAX,-485.00,PAY-003T,withdrawal
2024-01-30,WIRE IN - CLIENT ABC,15000.00,WIRE-5521,deposit
2024-02-01,INTEREST EARNED,12.34,INT-0201,deposit
2024-02-05,GITHUB INC,-21.00,GH-1182,withdrawal
2024-02-07,INSURANCE PMT,-450.00,INS-2024,withdrawal
2024-02-12,CHECK DEP 1089,2750.00,CHK-1089,deposit
2024-02-14,STRIPE TRANSFER 240214,7200.00,STR-004,deposit
2024-02-19,USPS PO BOX,-230.00,USPS-442,withdrawal
