date,description,amount,reference,type
2024-01-02,ACH CREDIT STRIPE,8500.00,STR-101,deposit
2024-01-03,ADP PAYROLL,-12450.00,ADP-0103,withdrawal
2024-01-03,ADP TAX PMT,-2890.00,ADP-0103T,withdrawal
2024-01-04,THOMSON REUTERS,-425.00,TR-2024,withdrawal
2024-01-05,AICPA DUES,-495.00,AICPA-24,withdrawal
2024-01-08,CCH SOFTWARE,-1200.00,CCH-8812,withdrawal
2024-01-09,CLIENT PMT SMITH,850.00,DEP-4521,deposit
2024-01-10,OFFICE DEPOT,-234.56,OD-9921,withdrawal
2024-01-12,CAMICO INSURANCE,-2400.00,CAM-2024,withdrawal
2024-01-15,BUILDING RENT,-4500.00,RENT-0115,withdrawal
2024-01-15,ADP PAYROLL,-12450.00,ADP-0115,withdrawal
2024-01-15,ADP TAX PMT,-2890.00,ADP-0115T,withdrawal
2024-01-17,CLIENT PMT ACME,1200.00,DEP-4523,deposit
2024-01-18,JETBLUE AIR,-342.00,JB-8821,withdrawal
2024-01-19,HILTON HOTELS,-198.00,HLT-442,withdrawal
2024-01-22,ACH CREDIT STRIPE,12500.00,STR-102,deposit
2024-01-23,DEXT RECEIPT BANK,-50.00,DEXT-123,withdrawal
2024-01-24,KARBON SOFTWARE,-99.00,KRB-2024,withdrawal
2024-01-25,VERIZON WIRELESS,-245.00,VZ-0125,withdrawal
2024-01-26,LACERTE TAX,-3200.00,LAC-2024,withdrawal
2024-01-29,ADP PAYROLL,-12450.00,ADP-0129,withdrawal
2024-01-29,ADP TAX PMT,-2890.00,ADP-0129T,withdrawal
2024-01-30,WIRE IN APEX CORP,7500.00,WIRE-8821,deposit
2024-01-31,BANK ANALYSIS FEE,-35.00,FEE-0131,withdrawal
2024-02-02,CLIENT PMT DAVIS,425.00,DEP-4530,deposit
2024-02-05,CALENDLY,-16.00,CAL-0205,withdrawal
2024-02-06,WOLTERS KLUWER,-650.00,WK-0206,withdrawal
2024-02-08,ZOOM VIDEO,-199.90,ZM-0208,withdrawal
2024-02-12,ADP PAYROLL,-12450.00,ADP-0212,withdrawal
2024-02-12,ADP TAX PMT,-2890.00,ADP-0212T,withdrawal
2024-02-14,CLIENT PMT MONTHLY,950.00,DEP-4535,deposit
2024-02-15,RENT FEBRUARY,-4500.00,RENT-0215,withdrawal
2024-02-19,UBER TRIP,-24.50,UBER-219,withdrawal
2024-02-22,UNKNOWN MERCHANT,-125.00,UNK-222,withdrawal
2024-02-26,ADP PAYROLL,-12450.00,ADP-0226,withdrawal
2024-02-26,ADP TAX PMT,-2890.00,ADP-0226T,withdrawal
2024-02-28,WIRE IN SMITH HLDGS,4000.00,WIRE-9921,deposit
