date,description,amount,reference,account,category
2024-01-02,Stripe Revenue,4250.00,STR-001,Checking,Revenue
2024-01-03,Gusto - Payroll,-3200.00,PAY-001,Checking,Payroll
2024-01-03,Gusto - Payroll Tax,-485.00,PAY-001T,Checking,Payroll Tax
2024-01-05,Amazon - Office Supplies,-89.99,AMZ-442,Checking,Office Supplies
2024-01-08,Client Payment - Invoice 1042,1500.00,CHK-1042,Checking,Revenue
2024-01-09,Comcast Internet,-199.00,COM-119,Checking,Utilities
2024-01-10,Stripe Revenue,6780.00,STR-002,Checking,Revenue
2024-01-11,Adobe Creative Cloud,-59.99,ADBE-112,Checking,Software
2024-01-12,Staples - Supplies,-156.78,STP-221,Checking,Office Supplies
2024-01-15,Gusto - Payroll,-3200.00,PAY-002,Checking,Payroll
2024-01-15,Gusto - Payroll Tax,-485.00,PAY-002T,Checking,Payroll Tax
2024-01-16,Zoom Subscription,-149.90,ZM-8821,Checking,Software
2024-01-18,Delta - Client Travel,-387.00,DL-9912,Checking,Travel
2024-01-22,Stripe Revenue,3920.00,STR-003,Checking,Revenue
2024-01-24,PG&E Utilities,-342.00,PGE-1124,Checking,Utilities
2024-01-25,Bank Service Fee,-25.00,FEE-0124,Checking,Bank Fees
2024-01-29,Gusto - Payroll,-3200.00,PAY-003,Checking,Payroll
2024-01-29,Gusto - Payroll Tax,-485.00,PAY-003T,Checking,Payroll Tax
2024-01-30,Wire - ABC Corp Payment,15000.00,WIRE-5521,Checking,Revenue
2024-02-01,Interest Income,12.34,INT-0201,Checking,Interest
2024-02-05,GitHub Subscription,-21.00,GH-1182,Checking,Software
2024-02-07,State Farm Insurance,-425.00,INS-2024,Checking,Insurance
2024-02-12,Client Payment - Invoice 1089,2750.00,CHK-1089,Checking,Revenue
2024-02-12,Client Payment - Invoice 1089,2750.00,CHK-1089,Checking,Revenue
2024-02-14,Stripe Revenue,7200.00,STR-004,Checking,Revenue
